measurementTime,year,month,waterYear,sw_xCO2_QL,sw_xCO2_QC,sw_xCO2_UQL,sw_xCO2,atm_xCO2_QL,atm_xCO2_QC,atm_xCO2_UQL,atm_xCO2
5/12/2018 23:00,2018,May,2017-2018,1,,2,221.2,1,,2,423.64
5/13/2018 0:00,2018,May,2017-2018,1,,2,222.63,1,,2,425.09
5/13/2018 1:00,2018,May,2017-2018,1,,2,217.37,1,,2,436.07
5/13/2018 2:00,2018,May,2017-2018,1,,2,220.86,1,,2,437.36
5/13/2018 3:00,2018,May,2017-2018,1,,2,222.07,1,,2,442.89
5/13/2018 4:00,2018,May,2017-2018,1,,2,225.45,1,,2,444.85
5/13/2018 5:00,2018,May,2017-2018,1,,2,225.95,1,,2,440.21
5/13/2018 6:00,2018,May,2017-2018,1,,2,226.48,1,,2,431.3
5/13/2018 7:00,2018,May,2017-2018,1,,2,226.32,1,,2,431.06
5/13/2018 8:00,2018,May,2017-2018,1,,2,225.82,1,,2,435.55
5/13/2018 9:00,2018,May,2017-2018,1,,2,224.92,1,,2,432.55
5/13/2018 10:00,2018,May,2017-2018,1,,2,227.6,1,,2,426.86
5/13/2018 11:00,2018,May,2017-2018,1,,2,226.61,1,,2,425.21
5/13/2018 12:00,2018,May,2017-2018,1,,2,225.12,1,,2,424.61
5/13/2018 13:00,2018,May,2017-2018,1,,2,224.56,1,,2,423.87
5/13/2018 14:00,2018,May,2017-2018,1,,2,218.57,1,,2,416.82
5/13/2018 15:00,2018,May,2017-2018,1,,2,220.65,1,,2,420.51
5/13/2018 16:00,2018,May,2017-2018,1,,2,219.81,1,,2,419.62
5/13/2018 17:00,2018,May,2017-2018,1,,2,225.08,1,,2,419.58
5/13/2018 18:00,2018,May,2017-2018,1,,2,223.19,1,,2,418.87
5/13/2018 19:00,2018,May,2017-2018,1,,2,221.61,1,,2,419.54
5/13/2018 20:00,2018,May,2017-2018,1,,2,221.09,1,,2,420.69
5/13/2018 21:00,2018,May,2017-2018,1,,2,222.21,1,,2,426.37
5/13/2018 22:00,2018,May,2017-2018,1,,2,222.51,1,,2,443.38
5/13/2018 23:00,2018,May,2017-2018,1,,2,222.15,1,,2,441.89
5/14/2018 0:00,2018,May,2017-2018,1,,2,224.56,1,,2,444.38
5/14/2018 1:00,2018,May,2017-2018,1,,2,219.98,1,,2,447.04
5/14/2018 2:00,2018,May,2017-2018,1,,2,219.25,1,,2,447.18
5/14/2018 3:00,2018,May,2017-2018,1,,2,225.38,1,,2,453.53
5/14/2018 4:00,2018,May,2017-2018,1,,2,221.6,1,,2,449.05
5/14/2018 5:00,2018,May,2017-2018,1,,2,223.17,1,,2,441.74
5/14/2018 6:00,2018,May,2017-2018,1,,2,218.93,1,,2,448.53
5/14/2018 7:00,2018,May,2017-2018,1,,2,218.49,1,,2,429.85
5/14/2018 8:00,2018,May,2017-2018,1,,2,222.03,1,,2,431.15
5/14/2018 9:00,2018,May,2017-2018,1,,2,225.92,1,,2,431.16
5/14/2018 10:00,2018,May,2017-2018,1,,2,232.54,1,,2,425.31
5/14/2018 11:00,2018,May,2017-2018,1,,2,230.06,1,,2,425.02
